2001,Atlanta Hawks,39172128
2001,Boston Celtics,51478704
2001,Charlotte Hornets,46441556
2001,Chicago Bulls,29691904
2001,Cleveland Cavaliers,49780548
2001,Dallas Mavericks,51905574
2001,Denver Nuggets,51814220
2001,Detroit Pistons,40475336
2001,Golden State Warriors,41849016
2001,Houston Rockets,49283308
2001,Indiana Pacers,54634640
2001,Los Angeles Clippers,29606188
2001,Los Angeles Lakers,58780711
2001,Miami Heat,73409832
2001,Milwaukee Bucks,57367816
2001,Minnesota Timberwolves,47176000
2001,New Jersey Nets,68977584
2001,New York Knicks,73556256
2001,Orlando Magic,36494360
2001,Philadelphia 76ers,50633956
2001,Phoenix Suns,53454844
2001,Portland Trailblazers,86506144
2001,Sacramento Kings,46141288
2001,San Antonio Spurs,57215936
2001,Seattle Sonics,50635656
2001,Toronto Raptors,37862248
2001,Utah Jazz,53706360
2001,Vancouver Grizzlies,48198340
2001,Washington Wizards,59085968
