2016,Atlanta Hawks,72902950
2016,Boston Celtics,77139134
2016,Brooklyn Nets,88273219
2016,Charlotte Hornets,78442935
2016,Chicago Bulls,86783378
2016,Cleveland Cavaliers,107018938
2016,Dallas Mavericks,73294689
2016,Denver Nuggets,71753577
2016,Detroit Pistons,85963779
2016,Golden State Warriors,95290751
2016,Houston Rockets,88606403
2016,Indiana Pacers,72347474
2016,Los Angeles Clippers,96742385
2016,Los Angeles Lakers,71792245
2016,Memphis Grizzlies,82607613
2016,Miami Heat,84598296
2016,Milwaukee Bucks,73697225
2016,Minnesota Timberwolves,72813691
2016,New Orleans Pelicans,80853172
2016,New York Knicks,73749672
2016,Oklahoma City Thunder,93761012
2016,Orlando Magic,63165947
2016,Philadelphia 76ers,63049892
2016,Phoenix Suns,69610335
2016,Portland Trailblazers,62488858
2016,Sacramento Kings,71683666
2016,San Antonio Spurs,86323139
2016,Toronto Raptors,72060733
2016,Utah Jazz,64058073
2016,Washington Wizards,84289365
