Robert Reid,1990,All Team,72,28,16.7,2.43,6.21,0.391,0.14,0.44,0.312,0.75,1.19,0.628,0.47,1.62,2.1,1.25,0.53,0.22,2.12,0.62,5.75,7.87
Mo Cheeks,1990,All Team,81,62,31.1,3.79,7.52,0.504,0.05,0.2,0.25,2.11,2.49,0.847,0.62,2.35,2.96,5.59,1.53,0.12,0.96,1.49,9.74,14.83
Gerald Henderson,1990,All Team,57,0,8.1,0.93,1.91,0.486,0.3,0.67,0.447,0.21,0.26,0.8,0.19,0.56,0.75,1.3,0.28,0.04,0.88,0.42,2.37,11.91
Joe Barry Carroll,1990,All Team,76,47,22.6,4.11,9.99,0.411,0,0.03,0,1.8,2.33,0.774,1.75,4.08,5.83,1.28,0.62,1.51,2.53,1.87,10.01,12.78
Jawann Oldham,1990,All Team,6,0,7.5,0.5,1,0.5,0,0,0,0.5,1.17,0.429,0.67,2,2.67,0.17,0.33,0.5,1.5,0.67,1.5,7.97
Jerry Sichting,1990,All Team,35,8,14.2,1.43,3.57,0.4,0.09,0.34,0.25,0.51,0.63,0.818,0.09,0.46,0.54,2.69,0.46,0.06,1.14,0.63,3.46,8.74
Steve Johnson,1990,All Team,25,0,10.4,1.92,3.68,0.522,0,0,0,0.84,1.4,0.6,0.76,1.36,2.12,0.68,0.12,0.2,2.24,1.24,4.68,9.51
Lewis Lloyd,1990,All Team,21,0,5.9,1.43,2.52,0.566,0,0,0,0.43,0.76,0.562,0.38,0.48,0.86,0.52,0.14,0,0.57,0.95,3.29,11.02
Kurt Rambis,1990,All Team,74,61,25.7,2.57,5.04,0.509,0,0.04,0,1.11,1.72,0.646,2.11,4.99,7.09,1.82,1.35,0.5,2.81,1.41,6.24,12.05
Jay Vincent,1990,All Team,41,6,11.2,2.1,4.46,0.47,0.02,0.05,0.5,1,1.2,0.837,0.49,1.02,1.51,0.44,0.44,0.12,1.27,0.8,5.22,11.39
Randy Breuer,1990,All Team,81,55,23.2,3.68,8.59,0.428,0,0.01,0,1.56,2.38,0.653,1.9,3.25,5.15,1.2,0.52,1.33,2.42,1.19,8.91,13.02
Antoine Carr,1990,All Team,77,4,22.4,4.62,9.36,0.494,0,0.09,0,3.08,3.87,0.795,1.49,2.69,4.18,1.55,0.39,0.88,3.21,1.62,12.32,16.47
Stuart Gray,1990,All Team,58,1,9.7,0.72,1.71,0.424,0,0.09,0,0.55,0.81,0.681,0.69,1.81,2.5,0.33,0.26,0.45,1.55,0.41,2,8.39
Uwe Blab,1990,All Team,47,33,11.3,0.83,2.09,0.398,0,0,0,0.43,0.79,0.541,0.62,1.68,2.3,0.53,0.02,0.47,2.17,0.74,2.09,3.31
Sedric Toney,1990,All Team,64,9,15.1,1.36,3.91,0.348,0.36,0.98,0.365,1.05,1.3,0.807,0.22,0.72,0.94,2.72,0.52,0,1.66,1.14,4.12,7.94
Ron Harper,1990,All Team,35,35,39.1,8.6,18.2,0.473,0.4,1.46,0.275,5.2,6.6,0.788,2.11,3.77,5.89,5.2,2.31,1.17,3,2.86,22.8,20.15
Pete Myers,1990,All Team,52,2,14.4,1.71,4.33,0.396,0,0.13,0,1.27,1.92,0.66,0.63,1.21,1.85,2.6,0.67,0.21,2.1,1.46,4.69,9.48
Brad Sellers,1990,All Team,59,0,11.9,1.75,4.31,0.406,0,0.08,0,0.98,1.24,0.795,0.66,0.85,1.51,0.56,0.29,0.37,1.25,0.78,4.47,9.37
Andre Turner,1990,All Team,11,0,10.5,1,3.45,0.289,0,0.18,0,0.36,0.36,1,0.36,0.36,0.73,2.09,0.73,0,0.55,1.09,2.36,6.16
Chris Dudley,1990,All Team,64,30,21.2,2.28,5.55,0.411,0,0,0,0.91,2.84,0.319,2.72,3.89,6.61,0.61,0.64,1.12,2.56,1.31,5.47,9.59
Winston Garland,1990,All Team,79,19,22.3,2.91,7.25,0.401,0.15,0.46,0.333,1.29,1.54,0.836,0.65,2.06,2.71,3.84,0.99,0.13,1.92,2,7.27,9.73
