Darrall Imhoff,1972,All Team,49,-,9.8,1.06,2.69,0.394,-,-,-,0.49,0.88,0.558,-,-,2.73,1.06,-,-,2,-,2.61,8.65
Bill Bridges,1972,All Team,78,-,35.3,4.86,9.99,0.487,-,-,-,2.85,4.05,0.703,-,-,13.47,2.54,-,-,3.45,-,12.56,15.35
Kevin Loughery,1972,All Team,76,-,23.3,4.49,10.64,0.422,-,-,-,3.46,4.21,0.822,-,-,2.41,2.58,-,-,2.8,-,12.43,14.09
Larry Siegfried,1972,All Team,31,-,18,1.39,3.97,0.35,-,-,-,1.03,1.19,0.865,-,-,1.35,2.32,-,-,1.71,-,3.81,6.93
McCoy McLemore,1972,All Team,27,-,9.1,1.04,2.63,0.394,-,-,-,0.74,0.89,0.833,-,-,2.7,0.81,-,-,1.22,-,2.81,11.83
Dave Stallworth,1972,All Team,78,-,26.2,4.31,9.97,0.432,-,-,-,1.95,2.41,0.809,-,-,5.55,2.03,-,-,2.78,-,10.56,12.9
Jim Washington,1972,All Team,84,-,35.2,4.68,10.54,0.444,-,-,-,3.05,3.85,0.793,-,-,8.76,1.74,-,-,3.29,-,12.4,12.08
Archie Clark,1972,All Team,77,-,42.7,9.25,19.69,0.47,-,-,-,6.68,8.66,0.771,-,-,3.48,7.96,-,-,2.52,-,25.17,20.58
Jim Davis,1972,All Team,75,-,13.1,1.96,4.51,0.435,-,-,-,1.33,2.05,0.649,-,-,3.68,0.68,-,-,1.84,-,5.25,12.51
Jim Fox,1972,All Team,81,-,26.9,4.37,9.73,0.449,-,-,-,2.8,3.67,0.764,-,-,8.8,1.06,-,-,3.17,-,11.54,14.53
Earl Monroe,1972,All Team,63,-,21.2,4.56,10.51,0.434,-,-,-,2.78,3.56,0.781,-,-,1.59,2.25,-,-,2.21,-,11.89,14.96
Bob Rule,1972,All Team,76,-,29.3,6.07,13.92,0.436,-,-,-,2.97,4.41,0.675,-,-,7.03,1.53,-,-,2.49,-,15.11,14.37
Charlie Paulk,1972,All Team,35,-,6,0.69,2.51,0.273,-,-,-,0.43,0.6,0.714,-,-,1.83,0.31,-,-,0.89,-,1.8,6.09
Mike Riordan,1972,All Team,58,-,23.7,4.02,8.6,0.467,-,-,-,1.45,2.14,0.677,-,-,2.21,2.17,-,-,2.22,-,9.48,11.64
Greg Smith,1972,All Team,82,-,27.5,3.77,8.18,0.461,-,-,-,1.35,2.05,0.661,-,-,5.89,2.71,-,-,3.16,-,8.89,11.66
Fred Carter,1972,All Team,79,-,28,5.65,12.89,0.438,-,-,-,2.3,3.71,0.621,-,-,4.13,2.67,-,-,3.06,-,13.59,12.58
Luther Rackley,1972,All Team,71,-,9.6,1.45,3.38,0.429,-,-,-,0.7,1.24,0.568,-,-,2.93,0.3,-,-,1.51,-,3.61,11
Norm Van Lier,1972,All Team,79,-,30.6,4.23,9.63,0.439,-,-,-,3,3.8,0.79,-,-,4.52,6.86,-,-,3.03,-,11.46,16.12
Don Adams,1972,All Team,73,-,28.4,4.29,10.93,0.392,-,-,-,2.81,3.77,0.745,-,-,6.88,1.92,-,-,3.64,-,11.38,11.51
Curtis Perry,1972,All Team,75,-,24.3,2.41,6.48,0.372,-,-,-,1.01,1.59,0.639,-,-,7.91,1.33,-,-,3.48,-,5.84,8.59
Fred Taylor,1972,All Team,34,-,8.3,1.06,3.44,0.308,-,-,-,0.44,0.94,0.469,-,-,1.59,0.53,-,-,1.18,-,2.56,4.45
John Vallely,1972,All Team,49,-,7.5,1.41,3.49,0.404,-,-,-,0.61,0.92,0.667,-,-,0.65,0.76,-,-,1.02,-,3.43,10.3
Jeff Webb,1972,All Team,46,-,5.2,0.87,2.17,0.4,-,-,-,0.35,0.5,0.696,-,-,0.76,0.5,-,-,0.63,-,2.09,10.04
Jake Jones,1972,All Team,17,-,11.9,1.65,4.24,0.389,-,-,-,1.18,1.82,0.645,-,-,1.53,0.71,-,-,1.29,-,4.47,8.6
Walt Bellamy,1972,ATL,82,-,38.9,7.23,13.28,0.545,-,-,-,4.15,7.09,0.585,-,-,12.79,3.2,-,-,3.11,-,18.61,19.35
