Dillard Crocker,1952,All Team,38,-,20.6,2.58,7.34,0.351,-,-,-,2.55,3.82,0.669,-,-,2.92,1.5,-,-,3.47,-,7.71,13.57
Dike Eddleman,1952,All Team,66,-,28.8,4.09,12.32,0.332,-,-,-,3.08,5.03,0.611,-,-,4.08,2.05,-,-,3.82,-,11.26,12.97
Don Otten,1952,All Team,64,-,28,3.47,9.94,0.349,-,-,-,5.05,6.53,0.773,-,-,6.8,1.92,-,-,3.41,-,11.98,20.29
Red Owens,1952,All Team,29,-,21.6,2.86,8.69,0.329,-,-,-,2.21,3.93,0.561,-,-,3.52,2.21,-,-,3.17,-,7.93,12.72
Art Burris,1952,All Team,41,-,12.5,1.02,3.8,0.269,-,-,-,0.63,0.95,0.667,-,-,2.41,0.66,-,-,1.68,-,2.68,6.68
Kevin O'Shea,1952,All Team,65,-,26.5,2.35,7.17,0.328,-,-,-,2.22,3.23,0.686,-,-,3.09,2.63,-,-,2.69,-,6.92,11.22
Don Rehfeldt,1952,All Team,39,-,20.2,2.54,7.31,0.347,-,-,-,1.62,2.05,0.787,-,-,6.23,1.28,-,-,2.62,-,6.69,16.42
Stan Miasek,1952,BAL,66,-,32.9,3.91,10.71,0.365,-,-,-,3.98,5.64,0.707,-,-,9.68,2.12,-,-,3.89,-,11.8,16.95
Fred Scolari,1952,BAL,64,-,35,4.53,13.55,0.334,-,-,-,5.52,6.61,0.835,-,-,3.34,4.73,-,-,3.33,-,14.58,16.78
Belus Smawley,1952,BAL,11,-,12.6,1.18,5.73,0.206,-,-,-,1.27,1.55,0.824,-,-,1.64,0.73,-,-,0.82,-,3.64,4.71
Bill Calhoun,1952,BAL,55,-,29,2.35,7.44,0.315,-,-,-,2.27,3.33,0.683,-,-,4.58,2.13,-,-,1.53,-,6.96,10.61
Brady Walker,1952,BAL,35,-,20,2.54,6.2,0.41,-,-,-,0.74,0.97,0.765,-,-,5.57,1.14,-,-,1.09,-,5.83,16.17
Alex Hannum,1952,BAL,66,-,22.8,2.58,7,0.368,-,-,-,1.48,2.09,0.71,-,-,5.09,2.02,-,-,4.11,-,6.64,12.49
Frank Kudelka,1952,BAL,65,-,24.4,3.14,9.45,0.332,-,-,-,3.05,3.97,0.767,-,-,4.23,2.82,-,-,3.38,-,9.32,15.15
Red Owens,1952,BAL,19,-,17.9,2.89,8.47,0.342,-,-,-,2.11,3.95,0.533,-,-,3.74,1.68,-,-,2.68,-,7.89,14.82
Kevin O'Shea,1952,BAL,22,-,29.5,2.77,7.5,0.37,-,-,-,3.18,4.41,0.722,-,-,3.59,3.18,-,-,2.86,-,8.73,13.56
Don Rehfeldt,1952,BAL,10,-,19.4,2,5.9,0.339,-,-,-,1.4,2.3,0.609,-,-,6.9,1.2,-,-,2.4,-,5.4,14.32
Don Barksdale,1952,BAL,62,-,32.5,4.39,12.97,0.338,-,-,-,3.82,5.53,0.691,-,-,9.69,2.21,-,-,3.71,-,12.6,16.6
Dave Minor,1952,BAL,57,-,27.3,3.25,9.16,0.354,-,-,-,1.77,2.32,0.765,-,-,4.82,2.81,-,-,2.82,-,8.26,13.42
Jim Slaughter,1952,BAL,28,-,18.8,1.89,5.89,0.321,-,-,-,1.46,2.43,0.603,-,-,5.29,0.89,-,-,2.89,-,5.25,10.94
John Mahnken,1952,BOS,60,-,9.7,1.3,3.78,0.344,-,-,-,0.43,0.72,0.605,-,-,2.2,1.05,-,-,1.52,-,3.03,13.74
Bones McKinney,1952,BOS,63,-,17.2,2.16,6.63,0.325,-,-,-,1.03,1.27,0.812,-,-,2.78,1.76,-,-,2.35,-,5.35,11.02
Bob Brannum,1952,BOS,66,-,20.1,2.26,6.12,0.369,-,-,-,1.62,2.59,0.626,-,-,6.15,1.15,-,-,3.56,-,6.14,13.31
Bob A. Harris,1952,BOS,66,-,28.8,2.88,7.02,0.41,-,-,-,2.03,3.17,0.641,-,-,8.05,1.82,-,-,2.94,-,7.79,16.22
Ed Macauley,1952,BOS,66,-,39.9,5.82,13.45,0.432,-,-,-,7.52,9.41,0.799,-,-,8.02,3.52,-,-,2.64,-,19.15,23.07
Chuck Cooper,1952,BOS,66,-,29.9,2.98,8.26,0.361,-,-,-,2.26,3.05,0.741,-,-,7.61,2.03,-,-,3.32,-,8.23,13.24
Bob Cousy,1952,BOS,66,-,40.6,7.76,21.03,0.369,-,-,-,6.2,7.67,0.808,-,-,6.38,6.68,-,-,2.88,-,21.71,23
Bob Donham,1952,BOS,66,-,30,3.05,6.26,0.487,-,-,-,2.26,4.44,0.509,-,-,5,3.45,-,-,3.38,-,8.35,16.45
Bill Sharman,1952,BOS,63,-,22,3.87,9.97,0.389,-,-,-,2.9,3.38,0.859,-,-,3.51,2.4,-,-,2.87,-,10.65,19.4
Dick Dickey,1952,BOS,45,-,9.8,0.89,3.02,0.294,-,-,-,1.04,1.53,0.681,-,-,1.8,1.11,-,-,1.76,-,2.82,11.56
Frankie Brian,1952,FWP,66,-,40.5,5.18,14.73,0.352,-,-,-,5.56,6.56,0.848,-,-,3.52,3.53,-,-,3.33,-,15.92,16.03
Bill Closs,1952,FWP,57,-,19.6,2.11,6.82,0.308,-,-,-,1.88,2.75,0.682,-,-,3.58,1.33,-,-,2.19,-,6.09,12.97
Dike Eddleman,1952,FWP,16,-,18,2.69,7.06,0.381,-,-,-,1.12,2.44,0.462,-,-,2.31,1.44,-,-,3.69,-,6.5,11.37
Ralph Johnson,1952,FWP,66,-,34.3,3.2,8.97,0.356,-,-,-,1.53,2.12,0.721,-,-,3.36,3.18,-,-,3.68,-,7.92,11.03
Jack Kerris,1952,FWP,66,-,32.5,2.82,7.27,0.388,-,-,-,3.29,4.92,0.668,-,-,7.79,3.21,-,-,4.02,-,8.92,17.93
Don Otten,1952,FWP,7,-,9,0.71,2.86,0.25,-,-,-,2,2.29,0.875,-,-,2.86,0.71,-,-,2.71,-,3.43,15.05
Fred Schaus,1952,FWP,62,-,41.6,4.53,12.55,0.361,-,-,-,5,6,0.833,-,-,7,3.98,-,-,3.56,-,14.06,16.99
Art Burris,1952,FWP,29,-,8.4,0.62,2.59,0.24,-,-,-,0.24,0.41,0.583,-,-,1.69,0.38,-,-,1.34,-,1.48,3.46
Larry Foust,1952,FWP,66,-,39.6,5.91,14.98,0.394,-,-,-,4.05,5.97,0.678,-,-,13.33,3.03,-,-,3.71,-,15.86,22.14
Jake Fendley,1952,FWP,58,-,11.2,0.93,2.93,0.318,-,-,-,1.29,1.64,0.789,-,-,1.38,1,-,-,2.03,-,3.16,11.7
Jack Kiley,1952,FWP,47,-,10.1,0.94,4.11,0.228,-,-,-,0.64,1.15,0.556,-,-,1.04,1.32,-,-,1.15,-,2.51,6.06
Charlie Share,1952,FWP,63,-,14,1.21,3.75,0.322,-,-,-,1.52,2.46,0.619,-,-,5.25,1.05,-,-,2.24,-,3.94,15.93
Zeke Sinicola,1952,FWP,3,-,5,0.33,1.33,0.25,-,-,-,0,0.67,0,-,-,0.33,0,-,-,0.67,-,0.67,-4.58
Cliff Barker,1952,IND,44,-,11.2,1.09,3.66,0.298,-,-,-,0.68,1.16,0.588,-,-,1.84,1.59,-,-,1.27,-,2.86,10.93
Leo Barnhorst,1952,IND,66,-,35.5,5.29,13.59,0.389,-,-,-,1.85,2.83,0.652,-,-,6.52,3.86,-,-,2.97,-,12.42,16.28
Dillard Crocker,1952,IND,6,-,3.8,0.33,0.83,0.4,-,-,-,0.83,1,0.833,-,-,0.5,0,-,-,1,-,1.5,12.4
Joe Graboski,1952,IND,66,-,37,4.85,12.53,0.387,-,-,-,4,6,0.667,-,-,9.92,1.97,-,-,3.85,-,13.7,17.07
Cliff Barker,1952,IND,44,-,11.2,1.09,3.66,0.298,-,-,-,0.68,1.16,0.588,-,-,1.84,1.59,-,-,1.27,-,2.86,10.93
Leo Barnhorst,1952,IND,66,-,35.5,5.29,13.59,0.389,-,-,-,1.85,2.83,0.652,-,-,6.52,3.86,-,-,2.97,-,12.42,16.28
Joe Holland,1952,IND,55,-,13.4,1.69,4.82,0.351,-,-,-,0.73,1.25,0.58,-,-,3.02,0.85,-,-,1.64,-,4.11,12.09
Wah Wah Jones,1952,IND,58,-,22.8,2.83,9.03,0.313,-,-,-,1.76,2.34,0.75,-,-,4.88,2.59,-,-,2.36,-,7.41,15.28
Paul Walther,1952,IND,55,-,34.6,4,9.98,0.401,-,-,-,4.2,5.6,0.75,-,-,4.47,2.49,-,-,3.11,-,12.2,15.34
Bob Lavoy,1952,IND,63,-,29,3.81,9.59,0.397,-,-,-,2.67,3.54,0.753,-,-,7.6,1.7,-,-,3.33,-,10.29,16.89
Don Lofgran,1952,IND,63,-,19.9,2.37,6.62,0.357,-,-,-,2.48,3.48,0.712,-,-,4.08,0.76,-,-,2.33,-,7.21,15.57
Ralph O'Brien,1952,IND,64,-,24.6,3.56,9.58,0.372,-,-,-,1.91,2.33,0.819,-,-,1.91,1.94,-,-,1.8,-,9.03,14.93
Bill Tosheff,1952,IND,65,-,31.6,3.28,10.02,0.327,-,-,-,2.8,3.4,0.824,-,-,3.32,3.42,-,-,3.14,-,9.35,13.11
