Elden Campbell,2005,All Team,40,1,9.8,0.97,3.08,0.317,0,0.05,0,1.05,1.38,0.764,0.7,1.62,2.33,0.47,0.2,0.17,1.43,0.72,3,7.01
Kenny Anderson,2005,All Team,43,20,17.3,1.98,4.67,0.423,0.14,0.3,0.462,0.63,0.86,0.73,0.56,1.49,2.05,2.4,0.77,0,2.02,1.14,4.72,9.97
Dale Davis,2005,All Team,61,28,21.4,1.84,3.84,0.479,0,0,0,0.98,1.62,0.606,2.49,3.66,6.15,0.77,0.52,1.07,2.66,0.7,4.66,13.26
Steve Smith,2005,All Team,50,1,15,2.04,4.96,0.411,0.82,2.1,0.39,1.38,1.6,0.863,0.3,1,1.3,1.42,0.28,0.14,1.64,0.54,6.28,13.85
Jon Barry,2005,All Team,69,2,21.8,2.33,5.33,0.438,1.03,2.39,0.43,0.9,1.03,0.873,0.38,1.93,2.3,2.42,0.87,0.13,1.38,0.97,6.59,13.19
Doug Christie,2005,All Team,52,44,29.3,2.5,6.38,0.392,0.29,1.19,0.242,1.35,1.5,0.897,0.73,2.67,3.4,3.83,1.54,0.35,2.04,2,6.63,9.85
Tom Gugliotta,2005,All Team,47,9,20.6,2.11,5.13,0.411,0.17,0.55,0.308,0.7,0.91,0.767,1.19,2.87,4.06,1.45,0.87,0.36,2.21,1.21,5.09,9.71
Jim Jackson,2005,All Team,64,27,31.1,3.88,9.09,0.426,1.91,4.61,0.414,0.84,0.91,0.931,0.52,3.69,4.2,2.86,0.55,0.08,2.39,1.8,10.5,10.72
Alonzo Mourning,2005,All Team,37,17,19,2.7,5.73,0.472,0,0,0,2.22,3.81,0.582,1.43,3.92,5.35,0.49,0.22,2,2.22,1.54,7.62,15.9
Vin Baker,2005,All Team,27,0,7.6,0.48,1.56,0.31,0,0.04,0,0.33,0.63,0.529,0.63,0.81,1.44,0.37,0.07,0.15,1.41,0.63,1.3,1.33
Rodney Rogers,2005,All Team,58,33,23.6,2.97,7.76,0.382,0.83,2.9,0.286,0.9,1.21,0.743,1.05,3.19,4.24,1.48,0.71,0.34,2.97,1.48,7.66,8.83
Chris Webber,2005,All Team,67,67,35.4,8.28,19.15,0.433,0.22,0.66,0.341,2.7,3.4,0.794,1.94,7.19,9.13,4.75,1.4,0.79,3.19,2.72,19.49,18.26
David Wesley,2005,All Team,80,79,34.7,4.17,10.5,0.398,1.48,3.94,0.375,2.02,2.36,0.857,0.47,2.38,2.85,3.31,1.2,0.11,2.69,1.41,11.85,11.7
Aaron Williams,2005,All Team,42,4,7.5,0.69,1.5,0.46,0,0,0,0.36,0.4,0.882,0.4,1.02,1.43,0.21,0.12,0.19,1.67,0.4,1.74,6.06
Darrell Armstrong,2005,All Team,66,16,15,1.35,4.2,0.321,0.42,1.68,0.252,0.88,1.03,0.853,0.53,1.21,1.74,2.7,0.68,0.12,1.39,1.02,4,10.85
Wesley Person,2005,All Team,41,3,16.3,2.61,5.51,0.473,1,2.17,0.461,0.22,0.32,0.692,0.07,1.95,2.02,0.95,0.46,0.1,0.73,0.41,6.44,13.62
Anthony Goldwire,2005,All Team,33,2,16.3,1.73,4.12,0.419,0.97,2.42,0.4,0.79,0.94,0.839,0.3,1.48,1.79,2.36,0.45,0,0.97,0.45,5.21,15.17
