Slater Martin,1957,All Team,66,-,36.4,3.7,11.15,0.332,-,-,-,3.48,4.41,0.79,-,-,4.36,4.08,-,-,2.92,-,10.88,10.63
Lew Hitch,1957,All Team,68,-,16.7,1.63,4.35,0.375,-,-,-,0.93,1.29,0.716,-,-,3.72,0.59,-,-,1.51,-,4.19,9.56
Togo Palazzi,1957,All Team,63,-,16.1,3.33,9.06,0.368,-,-,-,2.16,2.78,0.777,-,-,4.16,0.78,-,-,1.86,-,8.83,16.62
Willie Naulls,1957,All Team,71,-,25,4.13,11.55,0.357,-,-,-,1.86,2.75,0.677,-,-,8.69,1.18,-,-,2.62,-,10.11,14.2
Andy Phillip,1957,BOS,67,-,22,1.57,4.13,0.379,-,-,-,1.31,2.04,0.642,-,-,2.7,2.51,-,-,1.81,-,4.45,8.47
Jack Nichols,1957,BOS,61,-,22.5,3.2,8.8,0.363,-,-,-,1.77,2.23,0.794,-,-,6.13,1.39,-,-,3.03,-,8.16,11.84
Arnie Risen,1957,BOS,43,-,21.7,2.77,7.14,0.388,-,-,-,2.47,3.63,0.679,-,-,6.65,1.23,-,-,3.79,-,8,12.53
Bob Cousy,1957,BOS,64,-,36.9,7.47,19.75,0.378,-,-,-,5.67,6.91,0.821,-,-,4.83,7.47,-,-,2.09,-,20.61,20.52
Bill Sharman,1957,BOS,67,-,35.9,7.7,18.52,0.416,-,-,-,5.69,6.28,0.905,-,-,4.27,3.52,-,-,2.81,-,21.09,19.34
Togo Palazzi,1957,BOS,21,-,11.1,1.95,5.62,0.347,-,-,-,1.1,1.52,0.719,-,-,3.57,0.38,-,-,1.1,-,5,13.59
Frank Ramsey,1957,BOS,35,-,23.1,3.91,9.97,0.393,-,-,-,4.11,5.2,0.791,-,-,5.09,1.91,-,-,3.23,-,11.94,16.92
Dick Hemric,1957,BOS,67,-,15.7,1.63,4.73,0.344,-,-,-,2.18,3.13,0.695,-,-,4.54,0.63,-,-,1.46,-,5.43,12.27
Jim Loscutoff,1957,BOS,70,-,31.7,4.37,12.69,0.345,-,-,-,1.89,2.67,0.706,-,-,10.43,1.27,-,-,3.49,-,10.63,11.07
Tommy Heinsohn,1957,BOS,72,-,29.9,6.19,15.6,0.397,-,-,-,3.76,4.76,0.79,-,-,9.79,1.62,-,-,4.22,-,16.15,18.01
Bill Russell,1957,BOS,48,-,35.3,5.77,13.52,0.427,-,-,-,3.17,6.44,0.492,-,-,19.65,1.83,-,-,2.98,-,14.71,19.97
Lou Tsioropoulos,1957,BOS,52,-,12.9,1.52,4.92,0.309,-,-,-,1.33,1.71,0.775,-,-,3.98,0.63,-,-,2.6,-,4.37,9.02
Red Rocha,1957,FWP,72,-,16,1.89,5.42,0.349,-,-,-,1.51,2,0.757,-,-,3.78,1.12,-,-,2.25,-,5.29,11.49
Odie Spears,1957,FWP,11,-,10.7,1.09,3.45,0.316,-,-,-,1.73,2,0.864,-,-,1.36,0.64,-,-,2.18,-,3.91,14.95
Larry Foust,1957,FWP,61,-,25.1,3.98,10.11,0.394,-,-,-,4.48,6.23,0.718,-,-,9.1,1.16,-,-,3.62,-,12.44,19.22
Mel Hutchins,1957,FWP,72,-,36.8,5.12,13.24,0.387,-,-,-,2.11,2.86,0.738,-,-,7.93,2.92,-,-,2.53,-,12.36,13.53
Bob Houbregs,1957,FWP,60,-,26.5,4.22,9.75,0.432,-,-,-,2.78,3.9,0.714,-,-,6.68,1.88,-,-,1.97,-,11.22,17.94
Billy Kenville,1957,FWP,71,-,24,2.87,8.56,0.336,-,-,-,2.45,3.07,0.798,-,-,4.56,2.42,-,-,2.38,-,8.2,12.51
George Yardley,1957,FWP,72,-,37.4,7.25,17.68,0.41,-,-,-,6.99,8.88,0.787,-,-,10.49,2.04,-,-,3.21,-,21.49,22.16
Dick Rosenthal,1957,FWP,18,-,10.4,1.17,4.39,0.266,-,-,-,0.5,0.94,0.529,-,-,2.89,0.94,-,-,1.22,-,2.83,7.65
Gene Shue,1957,FWP,72,-,34.3,3.79,9.86,0.385,-,-,-,3.35,4.39,0.763,-,-,5.85,3.31,-,-,1.9,-,10.93,13.84
Corky Devlin,1957,FWP,71,-,17.5,2.68,7.07,0.378,-,-,-,1.37,2.01,0.678,-,-,2.06,1.99,-,-,1.61,-,6.72,13.08
Chuck Noble,1957,FWP,54,-,23.3,3.7,10.3,0.36,-,-,-,1.41,1.89,0.745,-,-,2.5,3.33,-,-,2.98,-,8.81,12.01
Bill Thieben,1957,FWP,58,-,10.9,1.55,4.41,0.352,-,-,-,0.98,1.5,0.655,-,-,3.57,0.29,-,-,1.34,-,4.09,12.77
Vern Mikkelsen,1957,MIN,72,-,30.5,4.47,11.86,0.377,-,-,-,4.75,5.89,0.807,-,-,8.75,1.68,-,-,4.33,-,13.69,15.61
Dick Schnittker,1957,MIN,70,-,14.2,1.61,5.01,0.322,-,-,-,2.29,2.76,0.829,-,-,2.64,0.74,-,-,2.06,-,5.51,10.99
Whitey Skoog,1957,MIN,23,-,28.5,3.39,9.57,0.355,-,-,-,1.91,2.04,0.936,-,-,3.13,3.3,-,-,2.83,-,8.7,10.14
Clyde Lovellette,1957,MIN,69,-,36.1,8.32,19.54,0.426,-,-,-,4.14,5.78,0.717,-,-,13.51,2.01,-,-,3.64,-,20.78,21.78
