Bob Love,1977,All Team,59,-,19.9,2.75,7.25,0.379,-,-,-,1.85,2.24,0.826,1.34,2.02,3.36,0.81,0.37,0.1,2.03,-,7.34,9.71
Fred Carter,1977,All Team,61,-,18.2,3.43,8.2,0.418,-,-,-,1.11,1.57,0.708,0.9,1.02,1.92,2.05,0.64,0.15,2.05,-,7.97,11.8
Elmore Smith,1977,All Team,70,-,20.9,3.44,7.24,0.475,-,-,-,1.67,3.04,0.549,1.63,4.64,6.27,0.61,0.5,2.06,2.96,-,8.56,14.96
Dave Wohl,1977,All Team,51,-,19.3,2.27,5.69,0.4,-,-,-,1.2,1.75,0.685,0.31,1.27,1.59,2.78,0.76,0.12,2.25,-,5.75,10.28
Rowland Garrett,1977,All Team,62,-,9.6,1.71,3.85,0.444,-,-,-,0.66,0.82,0.804,0.6,1.21,1.81,0.44,0.34,0.16,1.29,-,4.08,12.21
John Gianelli,1977,All Team,76,-,25.2,3.38,7.62,0.444,-,-,-,1.18,1.64,0.72,2.03,4.22,6.25,1.09,0.46,1.29,2.25,-,7.95,11.53
George Johnson,1977,All Team,78,-,21.2,2.54,5.5,0.462,-,-,-,0.91,1.26,0.724,2.62,5.22,7.83,1.33,0.47,2.27,3.15,-,5.99,14.41
Bob McAdoo,1977,All Team,72,-,38.9,10.28,20.07,0.512,-,-,-,5.29,7.17,0.738,2.76,10.1,12.86,2.85,1.07,1.38,3.64,-,25.85,21.82
Jim Price,1977,All Team,81,-,22.6,3.12,7,0.446,-,-,-,1.02,1.27,0.806,0.62,2.23,2.85,3.22,1.58,0.25,3.05,-,7.27,11.91
Mike Bantom,1977,All Team,77,-,24.8,4.69,9.81,0.478,-,-,-,2.91,4.03,0.723,2.39,3.73,6.12,1.32,0.82,0.64,3.03,-,12.29,16.61
Mel Davis,1977,All Team,56,-,19.5,3,8.29,0.362,-,-,-,1.14,1.62,0.703,1.75,3.48,5.23,1.27,0.55,0.09,2.32,-,7.14,10.61
Larry McNeill,1977,All Team,24,-,9.6,1.96,4.67,0.42,-,-,-,2.17,2.54,0.852,1.17,1.96,3.12,0.25,0.42,0.08,1.33,-,6.08,19.51
Nick Weatherspoon,1977,All Team,62,-,26.7,5,11.13,0.449,-,-,-,1.47,2.32,0.632,1.94,4.97,6.9,0.85,0.84,0.45,2.71,-,11.47,12.85
Gary Brokaw,1977,All Team,80,-,18.6,3.02,7.05,0.429,-,-,-,2.04,2.74,0.744,0.28,1.26,1.54,2.85,0.45,0.45,2.05,-,8.09,13.62
Leonard Gray,1977,All Team,83,-,19.7,3.11,7.13,0.436,-,-,-,1.42,1.9,0.747,1.01,2.52,3.53,1.49,0.7,0.37,3.29,-,7.64,11.43
Tom Henderson,1977,All Team,87,-,32.1,4.26,9.49,0.449,-,-,-,2.68,3.6,0.744,0.49,2.25,2.75,6.87,1.59,0.2,1.7,-,11.21,15.03
Truck Robinson,1977,All Team,77,-,36.1,7.45,15.58,0.478,-,-,-,4.08,5.58,0.73,3.27,7.48,10.75,1.84,0.86,0.49,3.29,-,18.99,17.08
Clyde Mayes,1977,All Team,9,-,5.8,0.56,2.11,0.263,-,-,-,0.33,0.78,0.429,1.11,0.67,1.78,0.33,0,0.44,1.33,-,1.44,6.73
Tom McMillen,1977,All Team,76,-,19.6,3.61,7.41,0.487,-,-,-,1.26,1.62,0.78,1.5,3.62,5.12,0.88,0.14,0.08,2.14,-,8.47,12.87
Mack Calvin,1977,All Team,76,-,18.9,2.89,7.16,0.404,-,-,-,3.78,4.45,0.849,0.47,0.79,1.26,3.16,0.8,0.04,1.67,-,9.57,15.64
Gus Gerard,1977,All Team,65,-,16.1,3.09,6.98,0.443,-,-,-,1.2,1.8,0.667,1.37,1.97,3.34,1.42,0.68,0.95,2.52,-,7.38,14.54
Rudy Hackett,1977,All Team,6,-,7.7,0.5,1.67,0.3,-,-,-,1.33,2.33,0.571,0.67,1.5,2.17,0.5,0,0.17,1.33,-,2.33,8.97
Phil Hicks,1977,All Team,37,-,7.1,1.11,2.41,0.461,-,-,-,0.3,0.35,0.846,0.7,1.08,1.78,0.65,0.22,0,1,-,2.51,13.18
Mo Howard,1977,All Team,32,-,10.8,2,4.12,0.485,-,-,-,0.75,1.09,0.686,0.53,0.69,1.22,1.31,0.53,0.25,1.59,-,4.75,14.6
Moses Malone,1977,All Team,82,-,30.6,4.74,9.88,0.48,-,-,-,3.72,5.37,0.693,5.33,7.74,13.07,1.09,0.82,2.21,3.35,-,13.21,19.85
Johnny Neumann,1977,All Team,63,-,14.9,2.56,6.3,0.406,-,-,-,0.94,1.38,0.678,0.38,0.76,1.14,2.24,0.49,0.16,2.13,-,6.05,11.18
Claude Terry,1977,All Team,45,-,12.1,2.13,4.24,0.503,-,-,-,0.8,0.98,0.818,0.27,0.76,1.02,1.29,0.44,0.02,1.07,-,5.07,13.13
Chuck Williams,1977,All Team,65,-,13.3,1.2,3.23,0.371,-,-,-,1.05,1.34,0.782,0.4,1.15,1.55,2.03,0.49,0.05,0.92,-,3.45,10.25
John Williamson,1977,All Team,72,-,34.5,8.58,18.71,0.459,-,-,-,3.6,4.57,0.787,0.58,2.1,2.68,2.79,1.49,0.18,3.42,-,20.76,15.83
Lou Hudson,1977,ATL,58,-,30.1,7.12,15.6,0.456,-,-,-,2.45,2.91,0.84,0.83,1.4,2.22,2.67,1.16,0.33,2.76,-,16.69,14.76
John Brown,1977,ATL,77,-,18.2,2.08,4.55,0.457,-,-,-,1.57,1.95,0.807,0.97,2.09,3.06,1.34,0.6,0.09,2.82,-,5.73,10.53
Kenny Charles,1977,ATL,82,-,30.3,4.32,10.43,0.414,-,-,-,2.5,3.12,0.801,0.5,1.55,2.05,3.6,1.72,0.55,2.93,-,11.13,12.05
John Drew,1977,ATL,74,-,36.3,9.31,19.14,0.487,-,-,-,5.57,7.8,0.714,3.78,5.34,9.12,1.8,1.38,0.39,3.72,-,24.19,20.21
Steve Hawes,1977,ATL,44,-,21.5,3.34,6.93,0.482,-,-,-,1.52,2,0.761,1.77,4.16,5.93,1.43,0.82,0.55,3.2,-,8.2,14.18
Tom Henderson,1977,ATL,46,-,34.1,4.26,9.85,0.433,-,-,-,2.74,3.65,0.75,0.39,2.3,2.7,8.39,1.72,0.17,1.61,-,11.26,15.25
Truck Robinson,1977,ATL,36,-,40.2,8.61,18,0.478,-,-,-,5.17,6.69,0.772,3.69,9.14,12.83,2.69,1.06,0.56,3.61,-,22.39,18.78
Mike Sojourner,1977,ATL,51,-,10.8,1.86,3.98,0.468,-,-,-,0.8,1.12,0.719,0.96,1.9,2.86,0.41,0.29,0.18,1.29,-,4.53,13.53
Henry Dickerson,1977,ATL,6,-,10.5,1,2,0.5,-,-,-,0.83,1.33,0.625,0,0.33,0.33,1.83,0.17,0,2.17,-,2.83,8.64
Joe C. Meriweather,1977,ATL,74,-,27.9,4.31,8.2,0.526,-,-,-,2.46,3.45,0.714,2.92,5.14,8.05,1.11,0.55,1.11,4.38,-,11.08,14.56
Bill Willoughby,1977,ATL,39,-,14.1,1.92,4.33,0.444,-,-,-,1.1,1.62,0.683,1.67,2.69,4.36,0.33,0.49,0.59,1.64,-,4.95,13.45
Tom Barker,1977,ATL,59,-,22.9,3.08,7.39,0.417,-,-,-,1.9,2.78,0.683,1.88,4.92,6.8,1.02,0.56,0.69,3.78,-,8.07,11.52
Ron Davis,1977,ATL,7,-,9.6,1.14,5,0.229,-,-,-,0.57,1.86,0.308,0.29,0.71,1,0.29,1,0,1.29,-,2.86,2.12
Randy Denton,1977,ATL,45,-,15.6,2.29,5.69,0.402,-,-,-,0.73,1.04,0.702,1.8,3.04,4.84,0.73,0.31,0.36,2.22,-,5.31,11.21
Armond Hill,1977,ATL,81,-,22.5,2.16,5.42,0.399,-,-,-,1.72,2.15,0.799,0.48,1.28,1.77,4.98,1.05,0.07,3.02,-,6.04,11.88
Claude Terry,1977,ATL,12,-,20.1,3.92,7.25,0.54,-,-,-,1.5,1.75,0.857,0.67,0.83,1.5,2.08,0.75,0.08,1.75,-,9.33,15.19
John Havlicek,1977,BOS,79,-,36.9,7.34,16.24,0.452,-,-,-,2.97,3.65,0.816,1.38,3.46,4.84,5.06,1.06,0.23,2.63,-,17.66,14.75
Steve Kuberski,1977,BOS,76,-,11.3,1.72,4.11,0.42,-,-,-,0.83,1.09,0.759,1,1.75,2.75,0.51,0.09,0.07,1.17,-,4.28,10.7
Jo Jo White,1977,BOS,82,-,40.6,7.78,18.15,0.429,-,-,-,4.06,4.67,0.869,1.06,3.61,4.67,6,1.44,0.27,2.35,-,19.62,14.98
Dave Cowens,1977,BOS,50,-,37.8,6.56,15.12,0.434,-,-,-,3.24,3.96,0.818,2.94,11,13.94,4.96,0.92,0.98,3.62,-,16.36,16.85
Curtis Rowe,1977,BOS,79,-,27.7,3.99,8,0.498,-,-,-,2.15,3.04,0.708,2.38,4.75,7.13,1.35,0.3,0.59,2.72,-,10.13,12.64
Charlie Scott,1977,BOS,43,-,36.8,7.58,17.07,0.444,-,-,-,3,4.02,0.746,1.21,3.23,4.44,4.56,1.4,0.28,3.6,-,18.16,14.17
Sidney Wicks,1977,BOS,82,-,32.2,5.66,12.34,0.458,-,-,-,3.78,5.66,0.668,3.27,6.78,10.05,2.06,0.78,0.74,4.04,-,15.1,15.47
Jim Ard,1977,BOS,63,-,15.4,1.52,4.03,0.378,-,-,-,0.78,1.21,0.645,1.22,3.48,4.7,0.84,0.29,0.44,2.03,-,3.83,9.14
Fred Saunders,1977,BOS,68,-,15.5,2.71,5.81,0.466,-,-,-,0.51,0.78,0.66,1.07,2.21,3.28,1.25,0.38,0.1,2.81,-,5.93,10.95
Kevin Stacom,1977,BOS,79,-,13.3,2.27,5.54,0.409,-,-,-,0.58,0.73,0.793,0.51,0.72,1.23,1.48,0.24,0.04,0.82,-,5.11,10.18
Bobby Wilson,1977,BOS,25,-,5.2,0.76,2.36,0.322,-,-,-,0.44,0.52,0.846,0.12,0.24,0.36,0.56,0.12,0,0.76,-,1.96,6.81
Tom Boswell,1977,BOS,70,-,15.5,2.5,4.86,0.515,-,-,-,1.37,1.93,0.711,1.59,2.79,4.37,1.21,0.39,0.11,3.39,-,6.37,13.7
Norm Cook,1977,BOS,25,-,5.5,1.08,2.88,0.375,-,-,-,0.36,0.68,0.529,0.4,0.68,1.08,0.2,0.4,0.12,1.08,-,2.52,10.31
Zaid Abdul-Aziz,1977,BUF,22,-,8.9,1.14,3.36,0.338,-,-,-,1.5,1.95,0.767,1.86,2.23,4.09,0.32,0.14,0.41,0.95,-,3.77,16.39
