Richie Guerin,1964,All Team,80,-,29.6,4.39,10.57,0.415,-,-,-,4.34,5.3,0.818,-,-,3.2,4.69,-,-,3.45,-,13.11,14.89
Larry Staverman,1964,All Team,60,-,11.2,1.63,3.53,0.462,-,-,-,1.15,1.5,0.767,-,-,2.93,0.53,-,-,1.97,-,4.42,12.69
Bob Boozer,1964,All Team,81,-,29.4,5.78,13.53,0.427,-,-,-,3.36,4.64,0.723,-,-,7.36,1.19,-,-,2.85,-,14.91,14.8
Donnie Butcher,1964,All Team,78,-,25.3,2.59,6.5,0.398,-,-,-,2.04,3.28,0.621,-,-,4.22,3.13,-,-,3.19,-,7.22,9.84
Johnny Egan,1964,All Team,66,-,35.2,5.06,11.48,0.441,-,-,-,2.92,3.68,0.794,-,-,2.89,5.42,-,-,2.74,-,13.05,12.66
Bevo Nordmann,1964,All Team,19,-,13.6,1.42,3.47,0.409,-,-,-,0.47,1,0.474,-,-,3.42,0.26,-,-,2.68,-,3.32,6.4
Len Chappell,1964,All Team,79,-,31.7,6.72,15,0.448,-,-,-,3.65,5.1,0.715,-,-,9.76,1.05,-,-,2.71,-,17.09,16.74
Paul Hogue,1964,All Team,15,-,9.8,0.8,2,0.4,-,-,-,0.13,0.47,0.286,-,-,2.07,0.4,-,-,2.33,-,1.73,3.98
Kevin Loughery,1964,All Team,66,-,22.1,3.58,9.56,0.374,-,-,-,1.91,2.68,0.712,-,-,2.09,2.76,-,-,2.65,-,9.06,10.67
Bill McGill,1964,All Team,74,-,24.1,6.16,12.66,0.487,-,-,-,2.76,3.81,0.723,-,-,5.59,1.64,-,-,2.93,-,15.08,18.98
Clyde Lovellette,1964,BOS,45,-,9.7,2.84,6.78,0.42,-,-,-,1,1.27,0.789,-,-,2.8,0.53,-,-,2.22,-,6.69,16.63
Frank Ramsey,1964,BOS,75,-,16.4,3.01,8.05,0.374,-,-,-,2.61,3.11,0.841,-,-,2.97,1.08,-,-,3.27,-,8.64,12.12
Jim Loscutoff,1964,BOS,53,-,8.5,1.06,3.43,0.308,-,-,-,0.34,0.58,0.581,-,-,2.47,0.47,-,-,1.7,-,2.45,5.94
Tommy Heinsohn,1964,BOS,76,-,26.8,6.41,16.09,0.398,-,-,-,3.72,4.5,0.827,-,-,6.05,2.41,-,-,3.53,-,16.54,16.19
Johnny McCarthy,1964,BOS,28,-,7.4,0.57,1.71,0.333,-,-,-,0.18,0.46,0.385,-,-,1.25,0.86,-,-,1.5,-,1.32,4.65
Willie Naulls,1964,BOS,78,-,18.1,4.12,9.86,0.417,-,-,-,1.6,2.01,0.796,-,-,4.56,0.82,-,-,2.67,-,9.83,14.03
Bill Russell,1964,BOS,78,-,44.6,5.97,13.81,0.433,-,-,-,3.03,5.5,0.55,-,-,24.74,4.74,-,-,2.44,-,14.97,17.01
Sam Jones,1964,BOS,76,-,31.3,8.05,17.88,0.45,-,-,-,3.28,4.18,0.783,-,-,4.59,2.66,-,-,2.53,-,19.38,16.93
K.C. Jones,1964,BOS,80,-,30.3,3.54,9.03,0.392,-,-,-,1.1,2.1,0.524,-,-,4.65,5.09,-,-,3.16,-,8.18,9.61
Satch Sanders,1964,BOS,80,-,29.6,4.36,10.45,0.417,-,-,-,2.66,3.5,0.761,-,-,8.34,1.27,-,-,3.46,-,11.39,11.81
John Havlicek,1964,BOS,80,-,32.3,8,19.19,0.417,-,-,-,3.94,5.28,0.746,-,-,5.35,2.98,-,-,2.84,-,19.94,16.19
Larry Siegfried,1964,BOS,31,-,8.4,1.13,3.55,0.318,-,-,-,1,1.26,0.795,-,-,1.65,1.29,-,-,1.06,-,3.26,10.94
Jack Twyman,1964,CIN,68,-,29.4,6.57,14.6,0.45,-,-,-,2.78,3.35,0.829,-,-,5.35,2.01,-,-,3.93,-,15.93,15.92
Bucky Bockhorn,1964,CIN,70,-,23.9,3.46,8.39,0.412,-,-,-,1.37,1.8,0.762,-,-,2.93,2.47,-,-,3.24,-,8.29,10.19
Wayne Embry,1964,CIN,80,-,36.4,6.95,15.16,0.458,-,-,-,3.39,5.21,0.65,-,-,11.56,1.41,-,-,4.06,-,17.29,15.9
Larry Staverman,1964,CIN,34,-,9.4,1.41,3.41,0.414,-,-,-,1.15,1.38,0.83,-,-,2.76,0.53,-,-,1.79,-,3.97,13.39
Tom Hawkins,1964,CIN,73,-,24.2,3.51,7.95,0.441,-,-,-,1.55,2.58,0.601,-,-,5.96,1.01,-,-,2.71,-,8.56,11.44
Bob Boozer,1964,CIN,32,-,22.7,4.34,10.44,0.416,-,-,-,2.31,3.72,0.622,-,-,5.56,1.03,-,-,2.59,-,11,13.86
Oscar Robertson,1964,CIN,79,-,45.1,10.63,22.03,0.483,-,-,-,10.13,11.87,0.853,-,-,9.91,10.99,-,-,3.54,-,31.39,27.73
Adrian Smith,1964,CIN,66,-,23.1,3.55,8.73,0.406,-,-,-,2.33,2.98,0.782,-,-,2.23,2.2,-,-,2.48,-,9.42,11.53
Bud Olsen,1964,CIN,49,-,10.5,1.73,4.29,0.405,-,-,-,0.65,1.16,0.561,-,-,3.04,0.59,-,-,1.59,-,4.12,11.82
Jay Arnette,1964,CIN,48,-,10.4,1.48,4.08,0.362,-,-,-,0.88,1.12,0.778,-,-,1.12,1.48,-,-,2.19,-,3.83,9.31
Jerry Lucas,1964,CIN,79,-,41.4,6.9,13.1,0.527,-,-,-,3.92,5.04,0.779,-,-,17.41,2.58,-,-,3.8,-,17.72,19.06
Tom Thacker,1964,CIN,48,-,9.5,1.1,3.77,0.293,-,-,-,0.54,1.1,0.491,-,-,2.4,1.06,-,-,1.06,-,2.75,9.72
Larry Staverman,1964,DET,20,-,12.8,2.2,4.1,0.537,-,-,-,1.3,1.95,0.667,-,-,3.45,0.6,-,-,2.5,-,5.7,15.15
Bob Ferry,1964,DET,74,-,20.6,4.03,9.05,0.445,-,-,-,2.51,3.77,0.667,-,-,5.78,1.27,-,-,2.35,-,10.57,16.67
Bailey Howell,1964,DET,77,-,35.1,7.77,16.45,0.472,-,-,-,6.1,7.55,0.809,-,-,10.08,2.66,-,-,3.77,-,21.64,21.3
