Kurt Rambis,1993,All Team,72,1,11.4,0.93,1.79,0.519,0,0.03,0,0.6,0.9,0.662,1.07,2.08,3.15,0.74,0.6,0.25,1.69,0.58,2.46,11.28
Orlando Woolridge,1993,All Team,58,47,26.8,4.98,10.33,0.482,0,0.16,0,2.07,3.05,0.678,1.5,1.69,3.19,1.98,0.47,0.47,2.1,1.36,12.03,13.39
Ed Nealy,1993,All Team,41,4,7.5,0.63,1.68,0.377,0.2,0.66,0.296,0.22,0.29,0.75,0.29,1.27,1.56,0.37,0.29,0.05,1,0.17,1.68,8.27
Sidney Green,1993,All Team,39,0,8.4,0.87,2.28,0.382,0,0.05,0,0.64,0.79,0.806,0.82,2.21,3.03,0.62,0.15,0.13,0.95,0.51,2.38,11.13
Darrell Walker,1993,All Team,37,2,13.8,0.92,2.59,0.354,0,0.03,0,0.32,0.7,0.462,0.59,0.97,1.57,1.43,0.89,0.05,1.7,0.68,2.16,6.65
Sam Perkins,1993,All Team,79,62,29.8,4.82,10.11,0.477,0.3,0.9,0.338,3.16,3.86,0.82,2.06,4.57,6.63,1.97,0.76,1.04,2.85,1.37,13.11,16.78
Alvin Robertson,1993,All Team,69,54,29.1,3.58,7.81,0.458,0.58,1.77,0.328,1.22,1.86,0.656,1.55,2.35,3.9,3.83,2.23,0.26,3.17,1.93,8.96,13.13
Benoit Benjamin,1993,All Team,59,6,12.8,2.25,4.59,0.491,0,0,0,1.17,1.76,0.663,0.86,2.68,3.54,0.37,0.53,0.81,2.27,1.32,5.68,13.15
Alex Stivrins,1993,All Team,19,0,4,1,2.05,0.487,0,0.11,0,0.16,0.21,0.75,0.37,0.63,1,0.16,0.11,0.11,0.58,0.37,2.16,13.73
Mark Acres,1993,All Team,18,7,14.9,1.44,2.72,0.531,0.06,0.11,0.5,0.61,0.89,0.688,1.44,2.28,3.72,0.28,0.17,0.33,1.89,0.72,3.56,9.27
Vincent Askew,1993,All Team,73,4,15.5,2.08,4.22,0.494,0.03,0.08,0.333,1.44,2.04,0.705,0.85,1.36,2.21,1.67,0.55,0.26,1.85,0.95,5.63,13.07
Joe Wolf,1993,All Team,23,0,7.2,0.87,1.91,0.455,0,0.04,0,0.57,0.7,0.812,0.61,1.48,2.09,0.22,0.3,0.04,1.04,0.3,2.3,11.77
Steve Kerr,1993,All Team,52,0,9.2,1.02,2.35,0.434,0.12,0.5,0.231,0.42,0.46,0.917,0.1,0.77,0.87,1.35,0.19,0.02,0.69,0.52,2.58,9.27
