Adrian Dantley,1989,All Team,73,67,33.2,6.44,13.07,0.493,0,0.01,0,6.3,7.78,0.81,1.6,2.74,4.34,2.34,0.59,0.18,2.55,2.23,19.18,17.35
Rickey Green,1989,All Team,63,2,13.8,2.05,4.19,0.489,0.05,0.17,0.273,0.48,0.52,0.909,0.17,0.92,1.1,2.97,0.63,0.03,0.56,0.97,4.62,13.68
John Long,1989,All Team,68,1,13.5,2.16,5.28,0.409,0.12,0.29,0.4,1.03,1.12,0.921,0.26,0.87,1.13,1.18,0.43,0.04,1.24,0.84,5.47,9.5
Jerome Whitehead,1989,All Team,57,4,10.9,1.26,3.19,0.396,0,0,0,0.54,0.82,0.66,0.86,1.49,2.35,0.33,0.4,0.07,2.02,0.42,3.07,6.93
David Greenwood,1989,All Team,67,18,20.9,2.49,5.9,0.423,0,0,0,1.97,2.63,0.75,2.09,3.91,6,1.43,0.7,0.78,3,1.36,6.96,11.73
Calvin Natt,1989,All Team,24,0,14.7,1.96,4.83,0.405,0,0.04,0,2.38,3.29,0.722,1.17,2.08,3.25,0.75,0.33,0.12,1.33,1.25,6.29,10.66
Darwin Cook,1989,All Team,66,4,17.3,3.3,7.24,0.456,0.12,0.62,0.195,0.95,1.18,0.808,0.52,1.11,1.62,1.92,1.08,0.15,1.83,1.33,7.68,11.69
Kiki Vandeweghe,1989,All Team,45,1,20.8,4.44,9.47,0.469,0.42,1.07,0.396,1.78,1.98,0.899,0.58,1,1.58,1.53,0.42,0.24,1.69,0.91,11.09,13.81
Mark Aguirre,1989,All Team,80,76,32.5,7.33,15.88,0.461,0.64,2.17,0.293,3.6,4.91,0.733,1.82,3,4.83,3.48,0.56,0.45,2.86,2.6,18.89,16.32
Danny Ainge,1989,All Team,73,54,32.4,6.58,14.4,0.457,1.59,4.18,0.38,2.81,3.29,0.854,0.97,2.52,3.49,5.51,1.27,0.11,2.55,1.99,17.55,18.04
Jay Vincent,1989,All Team,29,4,22.3,3.59,8.86,0.405,0.03,0.1,0.333,1.38,2.07,0.667,1.31,2.48,3.79,0.93,0.21,0.14,2.17,1.45,8.59,7.16
Herb Williams,1989,All Team,76,66,32.5,4.24,9.72,0.436,0,0.07,0,1.75,2.55,0.686,1.78,6.03,7.8,1.63,0.61,1.76,3.11,1.96,10.22,10.65
Craig Hodges,1989,All Team,59,6,20.4,3.44,7.29,0.472,1.27,3.05,0.417,0.81,0.97,0.842,0.39,1.12,1.51,2.47,0.73,0.07,1.53,0.97,8.97,14.23
Ed Nealy,1989,All Team,43,0,6,0.3,0.84,0.361,0,0.05,0,0.09,0.21,0.444,0.51,1.3,1.81,0.33,0.16,0.02,1.05,0.16,0.7,5.96
Derek Smith,1989,All Team,65,38,19.9,3.32,7.63,0.435,0.11,0.48,0.226,1.98,2.89,0.686,0.94,1.63,2.57,1.97,0.66,0.35,2.52,1.35,8.74,11.78
LaSalle Thompson,1989,All Team,76,70,30.6,5.47,11.18,0.489,0,0.01,0,2.99,3.7,0.808,2.95,6.5,9.45,1.07,1.04,1.24,3.75,2.36,13.93,15.79
Greg Kite,1989,All Team,70,24,13.5,0.93,2.16,0.43,0,0,0,0.29,0.59,0.488,1.16,2.31,3.47,0.51,0.39,0.77,2.29,0.83,2.14,6.41
Pace Mannion,1989,All Team,10,0,3.2,0.4,0.8,0.5,0,0.2,0,0,0,0,0,0.5,0.5,0.2,0.3,0,0.5,0.3,0.8,7.58
Kevin Williams,1989,All Team,50,0,10.9,1.62,4,0.405,0.02,0.12,0.167,0.92,1.18,0.78,0.56,0.84,1.4,1.06,0.6,0.22,1.82,1.04,4.18,9
Randy Wittman,1989,All Team,64,13,17.5,2.03,4.47,0.455,0.05,0.09,0.5,0.44,0.64,0.683,0.41,0.84,1.25,1.73,0.36,0.03,0.67,0.5,4.55,8.77
Tony Brown,1989,All Team,43,0,8.5,1.16,2.74,0.424,0.09,0.37,0.25,0.56,0.72,0.774,0.51,0.51,1.02,0.6,0.35,0.09,0.98,0.4,2.98,10.2
Joe Kleine,1989,All Team,75,13,18.8,2.33,5.76,0.405,0,0.03,0,1.79,2.03,0.882,1.65,3.39,5.04,0.89,0.44,0.31,2.56,1.39,6.45,9.96
Ed Pinckney,1989,All Team,80,33,25.1,3.99,7.78,0.513,0,0.07,0,3.5,4.38,0.8,2.08,3.54,5.61,1.48,1.04,0.82,2.52,1.49,11.47,17.14
Detlef Schrempf,1989,All Team,69,13,26.8,3.97,8.38,0.474,0.1,0.51,0.2,3.96,5.07,0.78,1.83,3.9,5.72,2.59,0.77,0.28,3.19,1.93,12,15.39
Wayman Tisdale,1989,All Team,79,35,30.8,6.73,13.11,0.514,0,0.05,0,4.01,5.19,0.773,2.37,5.34,7.71,1.62,0.7,0.66,3.61,2.18,17.48,17.4
Walter Berry,1989,All Team,69,31,19.6,3.68,7.26,0.507,0.01,0.03,0.5,1.45,2.07,0.699,1.25,2.62,3.87,1.12,0.42,0.7,2.65,1.29,8.83,13.39
Anthony Jones,1989,All Team,33,0,5.9,0.88,2.39,0.367,0.12,0.48,0.25,0.42,0.48,0.875,0.42,0.42,0.85,0.52,0.33,0.09,0.61,0.15,2.3,13.44
Pete Myers,1989,All Team,33,0,8.2,0.94,2.21,0.425,0,0.06,0,1,1.45,0.688,0.45,0.55,1,1.45,0.61,0.06,1.33,0.7,2.88,12.31
Steve Alford,1989,All Team,66,3,13.7,2.24,4.91,0.457,0.3,0.83,0.364,0.76,0.92,0.82,0.15,0.94,1.09,1.39,0.68,0.05,0.86,0.68,5.55,11.88
Brad Lohaus,1989,All Team,77,25,15.8,2.73,6.31,0.432,0.01,0.14,0.091,1.05,1.34,0.786,1.09,2.23,3.32,0.86,0.39,0.73,2.09,1,6.52,11.64
Scott Roth,1989,All Team,63,3,8.5,0.94,2.65,0.353,0.05,0.25,0.188,0.95,1.38,0.69,0.32,0.7,1.02,0.87,0.38,0.08,1.1,0.63,2.87,7.73
John Stroeder,1989,All Team,5,0,4.4,0.4,1,0.4,0,0,0,0,0,0,1,1.8,2.8,0.6,0,0.4,0.6,0.6,0.8,13.01
Clinton Wheeler,1989,All Team,28,0,12.6,1.61,3.11,0.517,0,0.04,0,0.54,0.71,0.75,0.61,0.5,1.11,1.93,0.96,0,0.93,0.86,3.75,12.84
Eric White,1989,All Team,38,0,11.5,1.63,3.16,0.517,0,0,0,0.89,1.11,0.81,0.89,0.92,1.82,0.45,0.26,0.03,1.05,0.68,4.16,10.31
Mark Davis,1989,All Team,33,0,7.8,1.48,3.09,0.48,0.03,0.3,0.1,0.85,1.03,0.824,0.48,0.64,1.12,0.42,0.39,0.15,1.18,0.36,3.85,14.8
Shelton Jones,1989,All Team,51,34,13.5,1.82,4.1,0.445,0,0.02,0,1.14,1.57,0.725,0.63,1.59,2.22,0.82,0.41,0.29,1.14,0.92,4.78,10.46
Todd Mitchell,1989,All Team,24,0,14.7,1.79,4.04,0.443,0,0,0,1.54,2.67,0.578,0.75,1.33,2.08,0.88,0.67,0.08,2.12,1.38,5.12,7.45
Craig Neal,1989,All Team,53,0,9.4,0.85,2.32,0.366,0.19,0.64,0.294,0.26,0.43,0.609,0.13,0.42,0.55,2.23,0.45,0.08,1.32,1.02,2.15,6.52
Dave Popson,1989,All Team,17,0,6.2,0.94,2.35,0.4,0,0,0,0.12,0.24,0.5,0.71,0.88,1.59,0.47,0.06,0.18,1,0.59,2,6.46
Dominic Pressley,1989,All Team,13,0,9.5,0.69,2.38,0.29,0,0.15,0,0.38,0.69,0.556,0.23,0.92,1.15,2,0.31,0,0.85,0.85,1.77,5.18
Jim Rowinski,1989,All Team,9,0,1.7,0.11,0.44,0.25,0,0,0,0.56,0.67,0.833,0.11,0.44,0.56,0,0,0,0,0,0.78,17.88
Kelvin Upshaw,1989,All Team,32,0,19.3,3.09,6.62,0.467,0.09,0.47,0.2,0.56,0.81,0.692,0.31,1.22,1.53,3.66,0.81,0.09,2.5,1.72,6.84,10.11
Moses Malone,1989,ATL,81,80,35.5,6.64,13.53,0.491,0,0.15,0,6.93,8.78,0.789,4.77,7.04,11.8,1.38,0.98,1.23,1.9,3.02,20.21,21.29
Reggie Theus,1989,ATL,82,82,30.7,6.06,13.01,0.466,0.21,0.71,0.293,3.48,4.09,0.851,1.05,1.9,2.95,4.72,1.32,0.2,2.88,2.37,15.8,16.15
Dudley Bradley,1989,ATL,38,0,7,0.74,2.26,0.326,0.21,0.82,0.258,0.21,0.42,0.5,0.18,0.66,0.84,0.63,0.42,0.05,1.08,0.37,1.89,6.05
Ray Tolbert,1989,ATL,50,0,6.8,0.8,1.88,0.426,0,0,0,0.46,0.74,0.622,0.62,1.14,1.76,0.32,0.26,0.26,1.1,0.7,2.06,8.19
Cliff Levingston,1989,ATL,80,52,27.3,3.75,7.1,0.528,0.01,0.06,0.2,1.66,2.39,0.696,2.42,3.8,6.22,0.94,1.21,0.88,3.38,1.31,9.18,13.48
Dominique Wilkins,1989,ATL,80,80,37.5,10.18,21.95,0.464,0.36,1.31,0.276,5.53,6.55,0.844,3.2,3.71,6.91,2.64,1.46,0.65,1.73,2.26,26.24,21.82
Pace Mannion,1989,ATL,5,0,3.6,0.4,1.2,0.333,0,0.4,0,0,0,0,0,0.4,0.4,0.4,0.4,0,0.4,0.6,0.8,2.26
Doc Rivers,1989,ATL,76,76,32.4,4.88,10.74,0.455,0.57,1.63,0.347,3.25,3.78,0.861,1.17,2.59,3.76,6.91,2.38,0.53,3.46,2.08,13.58,18.43
Antoine Carr,1989,ATL,78,12,19.1,2.9,6.04,0.48,0,0.01,0,1.67,1.95,0.855,1.36,2.15,3.51,1.17,0.4,0.79,2.83,1.05,7.46,12.77
John Battle,1989,ATL,82,0,20.4,3.5,7.66,0.457,0.13,0.41,0.324,2.37,2.9,0.815,0.37,1.34,1.71,2.4,0.51,0.11,1.52,1.27,9.5,13.5
Jon Koncak,1989,ATL,74,22,20.7,1.91,3.64,0.524,0,0.04,0,0.85,1.54,0.553,1.99,4.14,6.12,0.76,0.73,1.32,3.22,0.81,4.66,12.09
Spud Webb,1989,ATL,81,6,15,1.64,3.58,0.459,0.01,0.27,0.045,0.64,0.74,0.867,0.26,1.26,1.52,3.51,0.86,0.07,1.28,1.02,3.94,13.07
Duane Ferrell,1989,ATL,41,0,5.6,0.85,2.02,0.422,0,0,0,0.73,1.07,0.682,0.46,0.54,1,0.24,0.17,0.15,0.8,0.29,2.44,11.8
Dennis Johnson,1989,BOS,72,72,32,3.85,8.86,0.434,0.1,0.69,0.14,2.22,2.71,0.821,0.43,2.21,2.64,6.56,1.31,0.29,2.93,2.43,10.01,11.54
Robert Parish,1989,BOS,80,80,35.5,7.45,13.06,0.57,0,0,0,3.67,5.11,0.719,4.28,8.18,12.45,2.19,0.99,1.45,2.61,2.5,18.57,21.71
Otis Birdsong,1989,BOS,13,0,8.3,1.38,2.77,0.5,0.08,0.23,0.333,0,0.15,0,0.31,0.69,1,0.69,0.23,0.08,0.77,0.92,2.85,6.81
Larry Bird,1989,BOS,6,6,31.5,8.17,17.33,0.471,0,0,0,3,3.17,0.947,0.17,6,6.17,4.83,1,0.83,3,1.83,19.33,18.97
Jim Paxson,1989,BOS,57,7,20.1,3.54,7.81,0.454,0.07,0.42,0.167,1.47,1.81,0.816,0.32,0.98,1.3,1.88,0.67,0.14,1.68,1,8.63,11.51
Kevin McHale,1989,BOS,78,74,36.9,8.47,15.53,0.546,0,0.05,0,5.59,6.83,0.818,2.86,5.31,8.17,2.21,0.33,1.24,2.86,2.51,22.54,20.25
Danny Ainge,1989,BOS,45,28,29.8,6.02,13.09,0.46,1.29,3.44,0.374,2.53,2.84,0.891,0.82,2.6,3.42,4.78,1.16,0.02,2.4,1.82,15.87,17.76
Joe Kleine,1989,BOS,28,2,17.8,2.11,4.61,0.457,0,0.04,0,1.89,2.29,0.828,1.75,3.14,4.89,1.14,0.54,0.18,2.36,1.32,6.11,12
Ed Pinckney,1989,BOS,29,9,23.4,3.28,6.07,0.54,0,0,0,3.55,4.45,0.798,2.07,3.03,5.1,1.52,1,0.79,2.66,1.31,10.1,17.37
Mark Acres,1989,BOS,62,0,10.2,0.89,1.84,0.482,0.02,0.02,1,0.42,0.77,0.542,0.95,1.4,2.35,0.31,0.31,0.1,1.52,0.37,2.21,8.3
Kevin Gamble,1989,BOS,44,6,8.5,1.7,3.09,0.551,0.05,0.25,0.182,0.8,1.25,0.636,0.25,0.7,0.95,0.77,0.32,0.07,0.91,0.43,4.25,15.47
Reggie Lewis,1989,BOS,81,57,32.7,7.46,15.33,0.486,0.04,0.27,0.136,3.51,4.46,0.787,1.43,3.22,4.65,2.69,1.53,0.89,3.19,1.75,18.46,17.74
Brad Lohaus,1989,BOS,48,15,15.4,2.44,5.62,0.433,0,0.08,0,0.73,0.96,0.761,0.98,1.98,2.96,1.02,0.44,0.54,2.1,1.02,5.6,10.15
Ronnie Grandison,1989,BOS,71,0,7.6,0.83,2,0.415,0,0.14,0,0.83,1.13,0.738,0.66,0.63,1.3,0.59,0.25,0.04,1,0.51,2.49,9.96
Ramon Rivas,1989,BOS,28,0,3.2,0.43,1.11,0.387,0,0.04,0,0.57,0.89,0.64,0.32,0.54,0.86,0.11,0.14,0.04,0.75,0.32,1.43,9.25
Brian Shaw,1989,BOS,82,54,28.2,3.62,8.37,0.433,0,0.16,0,1.33,1.61,0.826,1.45,3.13,4.59,5.76,0.95,0.33,2.57,2.29,8.57,12.21
Kelvin Upshaw,1989,BOS,23,0,20.6,3.17,6.48,0.49,0.09,0.43,0.2,0.61,0.87,0.7,0.26,1.3,1.57,4.22,0.83,0.13,2.7,1.83,7.04,10.64
